ratio,x,y
0.1270358306188925,39,307
0.05211726384364821,16,307
0.06514657980456026,20,307
0.2964169381107492,91,307
0.5537459283387622,170,307
0.003257328990228013,1,307
0.26384364820846906,81,307
0.23452768729641693,72,307
0.36156351791530944,111,307
0.009708737864077669,4,412
0.6189320388349514,255,412
0.6189320388349514,255,412
0.29854368932038833,123,412
0.6189320388349514,255,412
0.0048543689320388345,2,412
0.019417475728155338,8,412
0.6213592233009708,256,412
0.009708737864077669,4,412
0.08849557522123894,50,565
0.01415929203539823,8,565
0.019469026548672566,11,565
0.03008849557522124,17,565
0.0017699115044247787,1,565
0.16862745098039217,86,510
0.9666666666666667,493,510
0.00392156862745098,2,510
0.00784313725490196,4,510
0.056862745098039215,29,510
0.13137254901960785,67,510
0.0058823529411764705,3,510
0.00196078431372549,1,510
0.6098039215686275,311,510
0.013725490196078431,7,510
0.9595375722543352,166,173
0.017341040462427744,3,173
0.9421965317919075,163,173
0.04046242774566474,7,173
0.12138728323699421,21,173
0.017341040462427744,3,173
0.930635838150289,161,173
0.27167630057803466,47,173
0.2774566473988439,48,173
0.13872832369942195,24,173
0.2832369942196532,49,173
0.28901734104046245,50,173
0.04046242774566474,7,173
0.017341040462427744,3,173
0.930635838150289,161,173
0.13872832369942195,24,173
0.2832369942196532,49,173
0.11560693641618497,20,173
0.1329479768786127,23,173
0.10404624277456648,18,173
0.9364161849710982,162,173
0.9364161849710982,162,173
0.9190751445086706,159,173
0.30057803468208094,52,173
0.10982658959537572,19,173
0.10404624277456648,18,173
0.10982658959537572,19,173
0.11560693641618497,20,173
0.011560693641618497,2,173
0.2774566473988439,48,173
0.8034682080924855,139,173
0.04046242774566474,7,173
0.03468208092485549,6,173
0.30057803468208094,52,173
0.13872832369942195,24,173
0.2832369942196532,49,173
0.953757225433526,165,173
0.2832369942196532,49,173
0.28901734104046245,50,173
0.1329479768786127,23,173
0.30057803468208094,52,173
0.07635467980295567,31,406
0.012315270935960592,5,406
0.0024630541871921183,1,406
0.0812807881773399,33,406
0.019704433497536946,8,406
0.12561576354679804,51,406
0.770935960591133,313,406
0.06403940886699508,26,406
0.0049261083743842365,2,406
0.0812807881773399,33,406
0.9408866995073891,382,406
0.07881773399014778,32,406
0.012315270935960592,5,406
0.08374384236453201,34,406
0.11822660098522167,48,406
0.0049261083743842365,2,406
0.9729064039408867,395,406
0.07142857142857142,29,406
0.07142857142857142,29,406
0.012315270935960592,5,406
0.7561576354679803,307,406
0.0049261083743842365,2,406
0.034482758620689655,14,406
