0.00E+00,0.00E+00
4.99E-01,9.11E+00
6.98E-01,1.22E+01
6.98E-01,1.46E+01
7.98E-01,1.73E+01
7.98E-01,1.95E+01
8.97E-01,2.00E+01
9.97E-01,2.17E+01
1.40E+00,2.30E+01
1.99E+00,2.51E+01
2.69E+00,2.75E+01
3.29E+00,2.97E+01
3.49E+00,3.06E+01
3.89E+00,3.19E+01
4.19E+00,3.35E+01
4.39E+00,3.46E+01
4.69E+00,3.62E+01
4.79E+00,3.72E+01
4.99E+00,3.93E+01
5.88E+00,3.93E+01
6.98E+00,4.28E+01
8.08E+00,4.30E+01
9.17E+00,4.70E+01
9.97E+00,5.01E+01
2.50E+01,5.01E+01
2.61E+01,5.05E+01
2.69E+01,5.36E+01
2.80E+01,5.36E+01
2.87E+01,5.63E+01
2.89E+01,5.72E+01
4.60E+01,5.72E+01
4.68E+01,5.99E+01
4.72E+01,6.08E+01
4.99E+01,6.08E+01
5.09E+01,6.43E+01
6.40E+01,6.45E+01
6.50E+01,6.79E+01
7.10E+01,6.79E+01
7.19E+01,7.45E+01
7.20E+01,7.50E+01
7.30E+01,7.52E+01
7.40E+01,7.85E+01
8.80E+01,7.87E+01
8.89E+01,8.21E+01
9.90E+01,8.23E+01
1.00E+02,1.00E+02
