0.00E+00,0.00E+00
6.16E-01,9.16E+00
8.19E-01,1.15E+01
9.22E-01,1.45E+01
9.25E-01,1.72E+01
1.13E+00,1.76E+01
1.83E+00,1.76E+01
2.03E+00,1.81E+01
2.13E+00,1.87E+01
2.23E+00,1.92E+01
2.53E+00,2.12E+01
2.84E+00,2.40E+01
3.24E+00,2.58E+01
3.24E+00,2.60E+01
3.34E+00,2.62E+01
3.34E+00,2.64E+01
3.44E+00,2.66E+01
3.44E+00,2.67E+01
3.54E+00,2.67E+01
3.54E+00,2.69E+01
3.64E+00,2.71E+01
4.05E+00,2.86E+01
4.05E+00,2.88E+01
4.05E+00,2.89E+01
4.05E+00,2.91E+01
4.15E+00,2.93E+01
4.15E+00,2.97E+01
4.35E+00,3.11E+01
4.45E+00,3.17E+01
4.55E+00,3.22E+01
4.75E+00,3.41E+01
4.85E+00,3.50E+01
5.06E+00,3.59E+01
6.06E+00,3.59E+01
6.06E+00,3.61E+01
6.16E+00,3.63E+01
6.26E+00,3.64E+01
6.26E+00,3.66E+01
6.66E+00,3.81E+01
6.76E+00,3.83E+01
6.76E+00,3.85E+01
6.86E+00,3.86E+01
6.86E+00,3.88E+01
6.86E+00,3.92E+01
6.97E+00,3.94E+01
8.17E+00,3.94E+01
8.47E+00,3.94E+01
8.97E+00,3.94E+01
9.07E+00,3.96E+01
9.07E+00,3.97E+01
9.17E+00,3.97E+01
9.17E+00,3.99E+01
9.27E+00,4.10E+01
9.27E+00,4.12E+01
9.27E+00,4.14E+01
9.37E+00,4.16E+01
9.38E+00,4.18E+01
9.48E+00,4.19E+01
9.48E+00,4.21E+01
9.48E+00,4.23E+01
9.48E+00,4.25E+01
9.48E+00,4.27E+01
9.68E+00,4.38E+01
9.68E+00,4.40E+01
9.68E+00,4.43E+01
9.78E+00,4.45E+01
9.78E+00,4.47E+01
9.78E+00,4.49E+01
9.88E+00,4.54E+01
9.98E+00,4.63E+01
1.10E+01,4.63E+01
1.11E+01,4.65E+01
1.11E+01,4.67E+01
1.12E+01,4.69E+01
1.12E+01,4.71E+01
1.13E+01,4.73E+01
1.13E+01,4.74E+01
1.14E+01,4.76E+01
1.14E+01,4.78E+01
1.15E+01,4.80E+01
1.15E+01,4.82E+01
1.16E+01,4.84E+01
1.16E+01,4.85E+01
